Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
620	-67.29101	-75.06437	7.773355	0.0967396	0.199296	0.0838726	0.0426604	0.12697	0.0845102	0.17202	0.0692855	0.758695
630	-71.14466	-73.29928	2.154624	0.165965	0.270922	0.192886	0.16011	0.056882	0.207427	0.393366	0.459921	0.146713
640	-71.76273	-72.38243	0.6197049	0.2327	0.166375	0.253489	0.268183	0.147023	0.101195	0.16581	0.692667	0.141523
650	-67.76855	-73.60273	5.834178	0.0219144	0.249567	0.252157	0.0690691	0.0823475	0.103997	0.104266	0.0486944	0.84704
660	-67.92309	-74.27779	6.354706	0.296639	0.107747	0.159088	0.0228257	0.0763246	0.0775039	0.0614923	0.15544	0.783067
670	-66.19929	-75.09723	8.897944	0.105782	0.0288569	0.147921	0.0696202	0.0775068	0.120271	0.0224552	0.175712	0.801833
680	-70.75146	-74.2276	3.476135	0.281663	0.214294	0.188198	0.157719	0.0555346	0.0579666	0.0224978	0.529137	0.448365
690	-69.09231	-73.28294	4.190624	0.0707352	0.217765	0.249048	0.164835	0.0884064	0.11116	0.561202	0.322194	0.116604
700	-67.69348	-75.77684	8.083365	0.0047806	0.112461	0.29273	0.0607336	0.0306866	0.109476	0.304716	0.0490688	0.646215
710	-72.19757	-75.81652	3.618951	0.128076	0.0602363	0.125787	0.25247	0.199433	0.178694	0.588982	0.298543	0.112475
720	-68.66336	-76.31021	7.646851	0.156665	0.14548	0.0103919	0.164865	0.132071	0.0340363	0.289679	0.512389	0.197932
730	-70.30974	-78.17857	7.86883	0.173671	0.0683064	0.042708	0.229109	0.0438495	0.0692673	0.515215	0.269515	0.21527
740	-67.6821	-75.5657	7.883597	0.180952	0.145265	0.0577647	0.0880644	0.0690438	0.0847158	0.40973	0.0591099	0.531161
750	-72.63507	-75.87061	3.235534	0.0963053	0.369036	0.155514	0.0199854	0.032207	0.300318	0.648867	0.267513	0.0836196
760	-70.13933	-75.98633	5.847002	0.00448367	0.0961557	0.339856	0.0356265	0.154997	0.146975	0.0454709	0.0843108	0.870218
770	-73.12095	-76.09161	2.970653	0.135613	0.322762	0.0369736	0.198393	0.0645819	0.23485	0.25317	0.400228	0.346603
780	-73.78961	-78.70608	4.916472	0.171794	0.125454	0.0586132	0.135414	0.0792181	0.277181	0.574624	0.248235	0.177141
790	-73.42585	-72.88175	-0.5440987	0.165845	0.191943	0.273057	0.246637	0.101311	0.277197	0.0766292	0.033301	0.89007
800	-67.66109	-74.2564	6.595302	0.0959315	0.0470421	0.273744	0.106049	0.0848448	0.114527	0.343463	0.225832	0.430704
